,name,followers,current_viewers,days,hours,minutes,test
1315,xixo,28787,165,31,15,10,2015-05-31 15:10:00
1337,xixo,28796,384,31,15,20,2015-05-31 15:20:00
1362,xixo,28796,472,31,15,30,2015-05-31 15:30:00
1385,xixo,28796,680,31,15,40,2015-05-31 15:40:00
1411,xixo,28796,651,31,15,50,2015-05-31 15:50:00
1434,xixo,28796,682,31,16,0,2015-05-31 16:00:00
1459,xixo,28796,659,31,16,10,2015-05-31 16:10:00
1485,xixo,28826,611,31,16,20,2015-05-31 16:20:00
1508,xixo,28826,632,31,16,30,2015-05-31 16:30:00
1534,xixo,28826,583,31,16,40,2015-05-31 16:40:00
1557,xixo,28826,828,31,16,50,2015-05-31 16:50:00
1578,xixo,28826,1739,31,17,0,2015-05-31 17:00:00
1603,xixo,28826,2271,31,17,10,2015-05-31 17:10:00
1628,xixo,28859,2098,31,17,20,2015-05-31 17:20:00
1653,xixo,28859,1968,31,17,30,2015-05-31 17:30:00
1678,xixo,28859,2303,31,17,40,2015-05-31 17:40:00
1704,xixo,28859,1890,31,18,0,2015-05-31 18:00:00
1729,xixo,28859,1663,31,18,10,2015-05-31 18:10:00
1754,xixo,28889,1505,31,18,30,2015-05-31 18:30:00
1780,xixo,28904,616,31,18,40,2015-05-31 18:40:00
1804,xixo,28904,1038,31,18,50,2015-05-31 18:50:00
1829,xixo,28904,1071,31,19,0,2015-05-31 19:00:00
1853,xixo,28904,1146,31,19,10,2015-05-31 19:10:00
1879,xixo,28922,1168,31,19,30,2015-05-31 19:30:00
4390,xixo,28954,279,1,16,10,2015-06-01 16:10:00
4410,xixo,28957,433,1,16,20,2015-06-01 16:20:00
4434,xixo,28957,621,1,16,30,2015-06-01 16:30:00
4456,xixo,28957,811,1,16,40,2015-06-01 16:40:00
4481,xixo,28957,857,1,16,50,2015-06-01 16:50:00
4506,xixo,28957,1028,1,17,0,2015-06-01 17:00:00
4531,xixo,28957,1151,1,17,10,2015-06-01 17:10:00
4554,xixo,28993,1172,1,17,20,2015-06-01 17:20:00
4578,xixo,28993,1316,1,17,30,2015-06-01 17:30:00
4603,xixo,28993,1476,1,17,40,2015-06-01 17:40:00
4628,xixo,28993,1537,1,17,50,2015-06-01 17:50:00
4653,xixo,28993,1367,1,18,0,2015-06-01 18:00:00
4678,xixo,28993,1362,1,18,10,2015-06-01 18:10:00
4703,xixo,29026,1515,1,18,20,2015-06-01 18:20:00
4728,xixo,29026,1524,1,18,30,2015-06-01 18:30:00
4754,xixo,29040,1094,1,18,40,2015-06-01 18:40:00
4778,xixo,29040,1306,1,18,50,2015-06-01 18:50:00
4799,purpledrank_hs,5093,55,1,18,50,2015-06-01 18:50:00
4820,purpledrank_hs,5093,93,1,19,0,2015-06-01 19:00:00
4830,xixo,29052,598,1,19,10,2015-06-01 19:10:00
4839,purpledrank_hs,5093,156,1,19,10,2015-06-01 19:10:00
4852,xixo,29052,983,1,19,20,2015-06-01 19:20:00
4863,purpledrank_hs,5094,166,1,19,20,2015-06-01 19:20:00
4877,xixo,29052,1173,1,19,30,2015-06-01 19:30:00
4887,purpledrank_hs,5094,196,1,19,30,2015-06-01 19:30:00
4902,xixo,29052,1287,1,19,40,2015-06-01 19:40:00
4910,purpledrank_hs,5094,229,1,19,40,2015-06-01 19:40:00
4927,xixo,29070,915,1,20,0,2015-06-01 20:00:00
4934,purpledrank_hs,5094,275,1,20,0,2015-06-01 20:00:00
4954,purpledrank_hs,5112,758,1,20,30,2015-06-01 20:30:00
4978,purpledrank_hs,5112,723,1,20,40,2015-06-01 20:40:00
5003,purpledrank_hs,5112,809,1,20,50,2015-06-01 20:50:00
5028,purpledrank_hs,5112,823,1,21,0,2015-06-01 21:00:00
5053,purpledrank_hs,5112,824,1,21,10,2015-06-01 21:10:00
5078,purpledrank_hs,5140,627,1,21,20,2015-06-01 21:20:00
5103,purpledrank_hs,5140,878,1,21,30,2015-06-01 21:30:00
5128,purpledrank_hs,5140,865,1,21,40,2015-06-01 21:40:00
5153,purpledrank_hs,5140,855,1,22,0,2015-06-01 22:00:00
5180,purpledrank_hs,5140,739,1,22,10,2015-06-01 22:10:00
5183,deernadia,128550,362,1,22,10,2015-06-01 22:10:00
5204,deernadia,128552,924,1,22,30,2015-06-01 22:30:00
5229,deernadia,128552,1016,1,22,40,2015-06-01 22:40:00
5254,deernadia,128552,1278,1,22,50,2015-06-01 22:50:00
5279,deernadia,128552,1275,1,23,0,2015-06-01 23:00:00
5304,deernadia,128552,1360,1,23,10,2015-06-01 23:10:00
5329,deernadia,128582,1381,1,23,20,2015-06-01 23:20:00
5354,deernadia,128582,1351,1,23,30,2015-06-01 23:30:00
5379,deernadia,128582,1374,1,23,40,2015-06-01 23:40:00
5404,deernadia,128582,1349,1,23,50,2015-06-01 23:50:00
5429,deernadia,128582,1403,2,0,0,2015-06-02 00:00:00
6949,orange_hs,8449,248,2,11,0,2015-06-02 11:00:00
6973,orange_hs,8449,258,2,11,10,2015-06-02 11:10:00
6995,orange_hs,8460,306,2,11,20,2015-06-02 11:20:00
7017,orange_hs,8460,325,2,11,40,2015-06-02 11:40:00
