,name,followers,current_viewers,days,hours,minutes,test
3,tidesoftime,95628,1671,30,22,40,2015-05-30 22:40:00
28,tidesoftime,95628,1671,30,22,40,2015-05-30 22:40:00
53,tidesoftime,95628,1882,30,23,10,2015-05-30 23:10:00
78,tidesoftime,95645,1967,30,23,20,2015-05-30 23:20:00
103,tidesoftime,95645,1923,30,23,30,2015-05-30 23:30:00
127,tidesoftime,95645,2315,30,23,40,2015-05-30 23:40:00
152,tidesoftime,95645,2558,30,23,50,2015-05-30 23:50:00
177,tidesoftime,95645,2615,31,0,0,2015-05-31 00:00:00
202,tidesoftime,95645,2914,31,0,10,2015-05-31 00:10:00
227,tidesoftime,95670,3052,31,0,20,2015-05-31 00:20:00
252,tidesoftime,95670,3027,31,0,30,2015-05-31 00:30:00
277,tidesoftime,95691,3275,31,0,40,2015-05-31 00:40:00
302,tidesoftime,95691,3291,31,0,50,2015-05-31 00:50:00
327,tidesoftime,95691,3217,31,1,0,2015-05-31 01:00:00
352,tidesoftime,95691,3379,31,1,10,2015-05-31 01:10:00
377,tidesoftime,95705,3184,31,1,20,2015-05-31 01:20:00
402,tidesoftime,95705,3506,31,1,30,2015-05-31 01:30:00
427,tidesoftime,95705,3433,31,1,40,2015-05-31 01:40:00
452,tidesoftime,95705,3559,31,1,50,2015-05-31 01:50:00
476,tidesoftime,95705,4893,31,2,0,2015-05-31 02:00:00
501,tidesoftime,95705,6021,31,2,10,2015-05-31 02:10:00
526,tidesoftime,95797,6302,31,2,20,2015-05-31 02:20:00
551,tidesoftime,95797,7224,31,2,30,2015-05-31 02:30:00
576,tidesoftime,95797,7912,31,2,40,2015-05-31 02:40:00
600,tidesoftime,95797,9729,31,2,50,2015-05-31 02:50:00
606,massansc,167512,812,31,2,50,2015-05-31 02:50:00
625,tidesoftime,95797,9845,31,3,0,2015-05-31 03:00:00
630,massansc,167514,1253,31,3,0,2015-05-31 03:00:00
650,tidesoftime,95797,10003,31,3,10,2015-05-31 03:10:00
652,massansc,167514,6100,31,3,10,2015-05-31 03:10:00
