,name,followers,current_viewers,days,hours,minutes,test
2,hsdogdog,42454,2709,30,22,40,2015-05-30 22:40:00
8,ryzentv,32355,483,30,22,40,2015-05-30 22:40:00
27,hsdogdog,42454,2709,30,22,40,2015-05-30 22:40:00
33,ryzentv,32355,483,30,22,40,2015-05-30 22:40:00
52,hsdogdog,42454,2939,30,23,10,2015-05-30 23:10:00
57,ryzentv,32363,542,30,23,10,2015-05-30 23:10:00
77,hsdogdog,42482,2963,30,23,20,2015-05-30 23:20:00
81,ryzentv,32366,613,30,23,20,2015-05-30 23:20:00
102,hsdogdog,42482,2918,30,23,30,2015-05-30 23:30:00
106,ryzentv,32366,654,30,23,30,2015-05-30 23:30:00
130,ryzentv,32366,732,30,23,40,2015-05-30 23:40:00
155,ryzentv,32366,850,30,23,50,2015-05-30 23:50:00
180,ryzentv,32366,856,31,0,0,2015-05-31 00:00:00
204,ryzentv,32366,934,31,0,10,2015-05-31 00:10:00
228,ryzentv,32374,1169,31,0,20,2015-05-31 00:20:00
253,ryzentv,32374,1136,31,0,30,2015-05-31 00:30:00
278,ryzentv,32374,1180,31,0,40,2015-05-31 00:40:00
303,ryzentv,32374,1159,31,0,50,2015-05-31 00:50:00
328,ryzentv,32374,1215,31,1,0,2015-05-31 01:00:00
353,ryzentv,32374,1236,31,1,10,2015-05-31 01:10:00
378,ryzentv,32394,1172,31,1,20,2015-05-31 01:20:00
404,ryzentv,32394,1194,31,1,30,2015-05-31 01:30:00
429,ryzentv,32394,1257,31,1,40,2015-05-31 01:40:00
454,ryzentv,32394,1328,31,1,50,2015-05-31 01:50:00
478,ryzentv,32394,1585,31,2,0,2015-05-31 02:00:00
503,ryzentv,32394,1681,31,2,10,2015-05-31 02:10:00
528,ryzentv,32428,1701,31,2,20,2015-05-31 02:20:00
553,ryzentv,32428,1767,31,2,30,2015-05-31 02:30:00
578,ryzentv,32428,1884,31,2,40,2015-05-31 02:40:00
603,ryzentv,32428,1894,31,2,50,2015-05-31 02:50:00
628,ryzentv,32428,1766,31,3,0,2015-05-31 03:00:00
1569,superjj102,16682,116,31,16,50,2015-05-31 16:50:00
1590,superjj102,16682,186,31,17,0,2015-05-31 17:00:00
1612,superjj102,16683,238,31,17,10,2015-05-31 17:10:00
1638,superjj102,16683,219,31,17,20,2015-05-31 17:20:00
1662,superjj102,16683,222,31,17,30,2015-05-31 17:30:00
1687,superjj102,16683,256,31,17,40,2015-05-31 17:40:00
1712,superjj102,16683,217,31,18,0,2015-05-31 18:00:00
1736,superjj102,16683,229,31,18,10,2015-05-31 18:10:00
1762,superjj102,16689,190,31,18,30,2015-05-31 18:30:00
1788,superjj102,16689,204,31,18,40,2015-05-31 18:40:00
1815,superjj102,16689,182,31,18,50,2015-05-31 18:50:00
1839,superjj102,16689,185,31,19,0,2015-05-31 19:00:00
1864,superjj102,16689,172,31,19,10,2015-05-31 19:10:00
1888,superjj102,16693,184,31,19,30,2015-05-31 19:30:00
1913,superjj102,16693,192,31,19,40,2015-05-31 19:40:00
1937,superjj102,16693,205,31,19,50,2015-05-31 19:50:00
1963,superjj102,16693,194,31,20,0,2015-05-31 20:00:00
1987,superjj102,16693,199,31,20,10,2015-05-31 20:10:00
2013,superjj102,16696,192,31,20,20,2015-05-31 20:20:00
2038,superjj102,16696,184,31,20,30,2015-05-31 20:30:00
2063,superjj102,16696,179,31,20,40,2015-05-31 20:40:00
2087,superjj102,16696,169,31,21,0,2015-05-31 21:00:00
2111,superjj102,16696,163,31,21,10,2015-05-31 21:10:00
2135,superjj102,16700,198,31,22,10,2015-05-31 22:10:00
2158,superjj102,16701,215,31,22,20,2015-05-31 22:20:00
2182,superjj102,16701,214,31,22,30,2015-05-31 22:30:00
2207,superjj102,16701,224,31,22,40,2015-05-31 22:40:00
2231,superjj102,16701,231,31,22,50,2015-05-31 22:50:00
2257,superjj102,16701,238,31,23,0,2015-05-31 23:00:00
2281,superjj102,16701,224,31,23,10,2015-05-31 23:10:00
2307,superjj102,16701,248,31,23,20,2015-05-31 23:20:00
2334,superjj102,16701,247,31,23,40,2015-05-31 23:40:00
2357,superjj102,16701,341,1,0,10,2015-06-01 00:10:00
2383,superjj102,16705,303,1,0,30,2015-06-01 00:30:00
2409,superjj102,16705,281,1,0,40,2015-06-01 00:40:00
2433,superjj102,16705,254,1,0,50,2015-06-01 00:50:00
2459,superjj102,16705,246,1,1,0,2015-06-01 01:00:00
2485,superjj102,16705,262,1,1,10,2015-06-01 01:10:00
2509,superjj102,16705,260,1,1,20,2015-06-01 01:20:00
