,name,followers,current_viewers,days,hours,minutes,test
1563,sjow,62657,262,31,16,50,2015-05-31 16:50:00
1580,sjow,62657,1159,31,17,0,2015-05-31 17:00:00
1604,sjow,62657,1742,31,17,10,2015-05-31 17:10:00
1627,sjow,62670,2206,31,17,20,2015-05-31 17:20:00
1651,sjow,62670,2921,31,17,30,2015-05-31 17:30:00
1676,sjow,62670,3717,31,17,40,2015-05-31 17:40:00
1702,sjow,62670,3562,31,18,0,2015-05-31 18:00:00
1727,sjow,62670,3133,31,18,10,2015-05-31 18:10:00
1752,sjow,62700,3195,31,18,30,2015-05-31 18:30:00
1777,sjow,62700,2981,31,18,40,2015-05-31 18:40:00
1802,sjow,62700,2763,31,18,50,2015-05-31 18:50:00
1827,sjow,62700,2847,31,19,0,2015-05-31 19:00:00
1852,sjow,62700,2555,31,19,10,2015-05-31 19:10:00
1876,sjow,62721,2675,31,19,30,2015-05-31 19:30:00
1901,sjow,62721,3341,31,19,40,2015-05-31 19:40:00
1926,sjow,62721,3229,31,19,50,2015-05-31 19:50:00
1951,sjow,62721,3175,31,20,0,2015-05-31 20:00:00
1976,sjow,62721,3277,31,20,10,2015-05-31 20:10:00
2001,sjow,62741,3368,31,20,20,2015-05-31 20:20:00
2026,sjow,62741,3344,31,20,30,2015-05-31 20:30:00
2051,sjow,62741,3134,31,20,40,2015-05-31 20:40:00
2076,sjow,62741,2797,31,21,0,2015-05-31 21:00:00
2101,sjow,62741,2902,31,21,10,2015-05-31 21:10:00
2963,sjow,62788,300,1,4,40,2015-06-01 04:40:00
2981,sjow,62788,1104,1,4,50,2015-06-01 04:50:00
3003,sjow,62788,1422,1,5,0,2015-06-01 05:00:00
3029,sjow,62788,1499,1,5,10,2015-06-01 05:10:00
3053,sjow,62801,1754,1,5,20,2015-06-01 05:20:00
3078,sjow,62801,1987,1,5,40,2015-06-01 05:40:00
3103,sjow,62801,2177,1,5,50,2015-06-01 05:50:00
3128,sjow,62811,2242,1,6,0,2015-06-01 06:00:00
3152,sjow,62811,2596,1,6,10,2015-06-01 06:10:00
3177,sjow,62821,2640,1,6,20,2015-06-01 06:20:00
3202,sjow,62821,3076,1,6,30,2015-06-01 06:30:00
3227,sjow,62821,3091,1,6,40,2015-06-01 06:40:00
3252,sjow,62821,3312,1,6,50,2015-06-01 06:50:00
3277,sjow,62821,3644,1,7,0,2015-06-01 07:00:00
3302,sjow,62821,3455,1,7,10,2015-06-01 07:10:00
3327,sjow,62845,3856,1,7,20,2015-06-01 07:20:00
3352,sjow,62845,3837,1,7,30,2015-06-01 07:30:00
3377,sjow,62845,3841,1,7,40,2015-06-01 07:40:00
3402,sjow,62845,3566,1,7,50,2015-06-01 07:50:00
3427,sjow,62866,3522,1,8,10,2015-06-01 08:10:00
3452,sjow,62879,3543,1,8,20,2015-06-01 08:20:00
3477,sjow,62879,3499,1,8,40,2015-06-01 08:40:00
3502,sjow,62879,3603,1,8,50,2015-06-01 08:50:00
3528,sjow,62879,3374,1,9,0,2015-06-01 09:00:00
3552,sjow,62894,3589,1,9,20,2015-06-01 09:20:00
3577,sjow,62894,3630,1,9,40,2015-06-01 09:40:00
3602,sjow,62894,3217,1,10,0,2015-06-01 10:00:00
3627,sjow,62894,3154,1,10,10,2015-06-01 10:10:00
3652,sjow,62911,3288,1,10,30,2015-06-01 10:30:00
3677,sjow,62911,3209,1,10,50,2015-06-01 10:50:00
3702,sjow,62911,3114,1,11,0,2015-06-01 11:00:00
3727,sjow,62911,3130,1,11,10,2015-06-01 11:10:00
3752,sjow,62923,2975,1,11,30,2015-06-01 11:30:00
6297,neirea,11132,140,2,5,50,2015-06-02 05:50:00
6317,neirea,11132,196,2,6,0,2015-06-02 06:00:00
6341,neirea,11132,227,2,6,10,2015-06-02 06:10:00
6364,neirea,11135,273,2,6,20,2015-06-02 06:20:00
6391,neirea,11135,286,2,6,30,2015-06-02 06:30:00
6415,neirea,11135,343,2,6,40,2015-06-02 06:40:00
6440,neirea,11135,364,2,6,50,2015-06-02 06:50:00
6442,savjz,81768,307,2,6,50,2015-06-02 06:50:00
6456,savjz,81768,1063,2,7,0,2015-06-02 07:00:00
6462,neirea,11135,545,2,7,0,2015-06-02 07:00:00
6480,savjz,81768,1796,2,7,10,2015-06-02 07:10:00
6487,neirea,11135,521,2,7,10,2015-06-02 07:10:00
6503,savjz,81785,3023,2,7,30,2015-06-02 07:30:00
6514,neirea,11141,420,2,7,30,2015-06-02 07:30:00
6527,savjz,81785,3773,2,7,40,2015-06-02 07:40:00
6539,neirea,11141,449,2,7,40,2015-06-02 07:40:00
6552,savjz,81785,4236,2,7,50,2015-06-02 07:50:00
