,name,followers,current_viewers,days,hours,minutes,test
5542,lotharhs,13214,71,2,0,40,2015-06-02 00:40:00
5561,lotharhs,13214,180,2,0,50,2015-06-02 00:50:00
5586,lotharhs,13214,259,2,1,0,2015-06-02 01:00:00
5609,lotharhs,13214,320,2,1,10,2015-06-02 01:10:00
5634,lotharhs,13224,348,2,1,20,2015-06-02 01:20:00
5659,lotharhs,13224,363,2,1,30,2015-06-02 01:30:00
5684,lotharhs,13224,393,2,1,40,2015-06-02 01:40:00
5709,lotharhs,13224,428,2,1,50,2015-06-02 01:50:00
5735,lotharhs,13224,381,2,2,0,2015-06-02 02:00:00
5759,lotharhs,13224,481,2,2,10,2015-06-02 02:10:00
5785,lotharhs,13248,446,2,2,20,2015-06-02 02:20:00
5809,lotharhs,13248,492,2,2,30,2015-06-02 02:30:00
5833,lotharhs,13248,547,2,2,40,2015-06-02 02:40:00
5858,lotharhs,13248,618,2,2,50,2015-06-02 02:50:00
5883,lotharhs,13248,587,2,3,0,2015-06-02 03:00:00
5907,lotharhs,13248,604,2,3,10,2015-06-02 03:10:00
5960,lotharhs,13268,288,2,3,30,2015-06-02 03:30:00
5985,lotharhs,13268,359,2,3,40,2015-06-02 03:40:00
6009,lotharhs,13268,429,2,3,50,2015-06-02 03:50:00
6035,lotharhs,13268,471,2,4,0,2015-06-02 04:00:00
6059,lotharhs,13268,582,2,4,10,2015-06-02 04:10:00
7044,lotharhs,13284,201,2,11,50,2015-06-02 11:50:00
7069,lotharhs,13284,229,2,12,0,2015-06-02 12:00:00
7098,lotharhs,13284,231,2,12,10,2015-06-02 12:10:00
7121,lotharhs,13289,249,2,12,20,2015-06-02 12:20:00
7149,lotharhs,13289,226,2,12,40,2015-06-02 12:40:00
7171,lotharhs,13289,226,2,12,50,2015-06-02 12:50:00
7197,lotharhs,13289,242,2,13,0,2015-06-02 13:00:00
7221,lotharhs,13289,232,2,13,10,2015-06-02 13:10:00
7246,lotharhs,13295,261,2,13,20,2015-06-02 13:20:00
7268,lotharhs,13295,251,2,13,30,2015-06-02 13:30:00
7297,lotharhs,13295,228,2,13,40,2015-06-02 13:40:00
7322,lotharhs,13295,261,2,13,50,2015-06-02 13:50:00
7906,lifecoach1981,53257,519,2,20,20,2015-06-02 20:20:00
7931,lifecoach1981,53257,486,2,20,30,2015-06-02 20:30:00
7955,lifecoach1981,53257,584,2,20,40,2015-06-02 20:40:00
7980,lifecoach1981,53257,727,2,20,50,2015-06-02 20:50:00
8004,lifecoach1981,53257,755,2,21,0,2015-06-02 21:00:00
8028,lifecoach1981,53257,832,2,21,10,2015-06-02 21:10:00
8053,lifecoach1981,53321,806,2,21,20,2015-06-02 21:20:00
8077,lifecoach1981,53321,1977,2,21,40,2015-06-02 21:40:00
8101,lifecoach1981,53321,2060,2,21,50,2015-06-02 21:50:00
8126,lifecoach1981,53321,2092,2,22,0,2015-06-02 22:00:00
8151,lifecoach1981,53495,2111,2,22,10,2015-06-02 22:10:00
8318,lotharhs,13301,117,2,23,20,2015-06-02 23:20:00
8334,lotharhs,13301,235,2,23,30,2015-06-02 23:30:00
8358,lotharhs,13301,333,2,23,40,2015-06-02 23:40:00
8378,lotharhs,13301,1376,2,23,50,2015-06-02 23:50:00
8403,lotharhs,13301,1496,3,0,0,2015-06-03 00:00:00
8427,lotharhs,13301,1612,3,0,10,2015-06-03 00:10:00
8452,lotharhs,13384,1894,3,0,20,2015-06-03 00:20:00
8477,lotharhs,13384,2168,3,0,40,2015-06-03 00:40:00
8501,lotharhs,13384,2316,3,0,50,2015-06-03 00:50:00
8526,lotharhs,13384,2822,3,1,0,2015-06-03 01:00:00
8551,lotharhs,13552,3082,3,1,20,2015-06-03 01:20:00
8576,lotharhs,13552,3219,3,1,30,2015-06-03 01:30:00
8591,thijshs,16924,141,3,1,30,2015-06-03 01:30:00
8601,lotharhs,13552,2889,3,1,40,2015-06-03 01:40:00
8613,thijshs,16924,223,3,1,40,2015-06-03 01:40:00
8626,lotharhs,13552,2872,3,1,50,2015-06-03 01:50:00
8635,thijshs,16924,298,3,1,50,2015-06-03 01:50:00
8651,lotharhs,13552,3115,3,2,0,2015-06-03 02:00:00
8660,thijshs,16924,389,3,2,0,2015-06-03 02:00:00
8676,lotharhs,13711,3048,3,2,20,2015-06-03 02:20:00
8680,thijshs,16932,619,3,2,20,2015-06-03 02:20:00
8701,lotharhs,13711,3316,3,2,30,2015-06-03 02:30:00
8705,thijshs,16932,713,3,2,30,2015-06-03 02:30:00
8726,lotharhs,13711,2838,3,2,40,2015-06-03 02:40:00
8730,thijshs,16932,854,3,2,40,2015-06-03 02:40:00
8751,lotharhs,13711,2888,3,2,50,2015-06-03 02:50:00
8754,thijshs,16932,1005,3,2,50,2015-06-03 02:50:00
8776,lotharhs,13711,3292,3,3,0,2015-06-03 03:00:00
8779,thijshs,16932,1068,3,3,0,2015-06-03 03:00:00
8801,lotharhs,13711,3161,3,3,10,2015-06-03 03:10:00
8803,thijshs,16932,1195,3,3,10,2015-06-03 03:10:00
8826,lotharhs,13850,3284,3,3,20,2015-06-03 03:20:00
8827,thijshs,16964,1417,3,3,20,2015-06-03 03:20:00
8852,lotharhs,13850,3104,3,3,30,2015-06-03 03:30:00
8853,thijshs,16964,1544,3,3,30,2015-06-03 03:30:00
8877,lotharhs,13850,2920,3,3,40,2015-06-03 03:40:00
8878,thijshs,16964,1585,3,3,40,2015-06-03 03:40:00
8902,thijshs,16964,3001,3,3,50,2015-06-03 03:50:00
8927,thijshs,16964,2942,3,4,0,2015-06-03 04:00:00
8952,thijshs,16964,2884,3,4,10,2015-06-03 04:10:00
8977,thijshs,17043,2626,3,4,30,2015-06-03 04:30:00
9002,thijshs,17043,2674,3,4,40,2015-06-03 04:40:00
9027,thijshs,17043,2708,3,4,50,2015-06-03 04:50:00
9052,thijshs,17043,3019,3,5,0,2015-06-03 05:00:00
9077,thijshs,17043,2812,3,5,10,2015-06-03 05:10:00
9102,thijshs,17148,2802,3,5,20,2015-06-03 05:20:00
9127,thijshs,17148,2942,3,5,30,2015-06-03 05:30:00
9152,thijshs,17148,3014,3,5,50,2015-06-03 05:50:00
9177,thijshs,17148,2871,3,6,0,2015-06-03 06:00:00
9202,thijshs,17148,2956,3,6,10,2015-06-03 06:10:00
9228,thijshs,17237,2224,3,6,20,2015-06-03 06:20:00
9252,thijshs,17237,2366,3,6,30,2015-06-03 06:30:00
9277,thijshs,17237,2302,3,6,40,2015-06-03 06:40:00
9302,thijshs,17237,2303,3,6,50,2015-06-03 06:50:00
9327,thijshs,17237,2207,3,7,0,2015-06-03 07:00:00
9353,thijshs,17237,2085,3,7,10,2015-06-03 07:10:00
9379,thijshs,17297,2186,3,7,20,2015-06-03 07:20:00
9414,thijshs,17297,273,3,7,30,2015-06-03 07:30:00
9439,thijshs,17297,211,3,7,40,2015-06-03 07:40:00
11740,lotharhs,13902,158,4,0,10,2015-06-04 00:10:00
11761,lotharhs,13904,246,4,0,20,2015-06-04 00:20:00
11785,lotharhs,13904,337,4,0,30,2015-06-04 00:30:00
11807,lotharhs,13904,397,4,0,40,2015-06-04 00:40:00
11830,lotharhs,13904,713,4,1,0,2015-06-04 01:00:00
11855,lotharhs,13904,868,4,1,10,2015-06-04 01:10:00
11879,lotharhs,13935,1100,4,1,20,2015-06-04 01:20:00
11903,lotharhs,13935,1198,4,1,30,2015-06-04 01:30:00
11927,lotharhs,13935,1396,4,1,40,2015-06-04 01:40:00
11953,lotharhs,13935,1377,4,1,50,2015-06-04 01:50:00
11978,lotharhs,13935,1690,4,2,0,2015-06-04 02:00:00
12003,lotharhs,13935,1590,4,2,10,2015-06-04 02:10:00
12028,lotharhs,13999,1891,4,2,20,2015-06-04 02:20:00
12053,lotharhs,13999,1870,4,2,30,2015-06-04 02:30:00
12077,lotharhs,13999,2032,4,2,40,2015-06-04 02:40:00
12094,radu_hs,30044,58,4,2,40,2015-06-04 02:40:00
12102,lotharhs,13999,2128,4,2,50,2015-06-04 02:50:00
12117,radu_hs,30044,157,4,2,50,2015-06-04 02:50:00
12128,lotharhs,13999,1681,4,3,0,2015-06-04 03:00:00
12137,radu_hs,30044,245,4,3,0,2015-06-04 03:00:00
12152,lotharhs,13999,1996,4,3,10,2015-06-04 03:10:00
12159,radu_hs,30044,362,4,3,10,2015-06-04 03:10:00
12177,lotharhs,14110,2154,4,3,20,2015-06-04 03:20:00
12185,radu_hs,30046,414,4,3,20,2015-06-04 03:20:00
12203,lotharhs,14110,2003,4,3,30,2015-06-04 03:30:00
12210,radu_hs,30046,463,4,3,30,2015-06-04 03:30:00
12228,lotharhs,14110,2183,4,3,40,2015-06-04 03:40:00
12235,radu_hs,30046,445,4,3,40,2015-06-04 03:40:00
12252,lotharhs,14110,2138,4,4,0,2015-06-04 04:00:00
12259,radu_hs,30046,509,4,4,0,2015-06-04 04:00:00
12277,lotharhs,14110,2183,4,4,10,2015-06-04 04:10:00
12283,radu_hs,30046,598,4,4,10,2015-06-04 04:10:00
12302,lotharhs,14183,2161,4,4,20,2015-06-04 04:20:00
12308,radu_hs,30051,661,4,4,20,2015-06-04 04:20:00
12327,lotharhs,14183,2203,4,4,30,2015-06-04 04:30:00
12333,radu_hs,30051,723,4,4,30,2015-06-04 04:30:00
12352,lotharhs,14183,2122,4,4,40,2015-06-04 04:40:00
12357,radu_hs,30051,849,4,4,40,2015-06-04 04:40:00
12377,lotharhs,14183,2132,4,4,50,2015-06-04 04:50:00
12382,radu_hs,30051,903,4,4,50,2015-06-04 04:50:00
12401,lotharhs,14183,2410,4,5,10,2015-06-04 05:10:00
12408,radu_hs,30051,780,4,5,10,2015-06-04 05:10:00
12428,lotharhs,14275,2159,4,5,20,2015-06-04 05:20:00
12433,radu_hs,30062,739,4,5,20,2015-06-04 05:20:00
12453,radu_hs,30062,1712,4,5,30,2015-06-04 05:30:00
12480,radu_hs,30062,1506,4,5,40,2015-06-04 05:40:00
12505,radu_hs,30062,1301,4,5,50,2015-06-04 05:50:00
12530,radu_hs,30062,894,4,6,0,2015-06-04 06:00:00
12554,radu_hs,30062,1201,4,6,10,2015-06-04 06:10:00
12580,radu_hs,30091,1081,4,6,20,2015-06-04 06:20:00
12605,radu_hs,30091,1083,4,6,30,2015-06-04 06:30:00
15287,thijshs,17310,155,5,2,10,2015-06-05 02:10:00
15291,radu_hs,30103,112,5,2,10,2015-06-05 02:10:00
15308,thijshs,17308,329,5,2,20,2015-06-05 02:20:00
15311,radu_hs,30103,240,5,2,20,2015-06-05 02:20:00
15330,radu_hs,30103,1072,5,2,30,2015-06-05 02:30:00
15331,thijshs,17308,523,5,2,30,2015-06-05 02:30:00
15354,radu_hs,30103,1108,5,2,40,2015-06-05 02:40:00
15356,thijshs,17308,714,5,2,40,2015-06-05 02:40:00
15378,radu_hs,30103,1166,5,2,50,2015-06-05 02:50:00
15380,thijshs,17308,844,5,2,50,2015-06-05 02:50:00
15403,radu_hs,30103,1374,5,3,0,2015-06-05 03:00:00
15405,thijshs,17308,968,5,3,0,2015-06-05 03:00:00
15429,thijshs,17308,1116,5,3,10,2015-06-05 03:10:00
15430,radu_hs,30103,1099,5,3,10,2015-06-05 03:10:00
15454,thijshs,17344,1311,5,3,20,2015-06-05 03:20:00
15455,radu_hs,30129,1158,5,3,20,2015-06-05 03:20:00
15479,thijshs,17344,1440,5,3,30,2015-06-05 03:30:00
15480,radu_hs,30129,1312,5,3,30,2015-06-05 03:30:00
15503,thijshs,17344,1761,5,3,40,2015-06-05 03:40:00
15504,radu_hs,30129,1279,5,3,40,2015-06-05 03:40:00
15528,thijshs,17344,1796,5,3,50,2015-06-05 03:50:00
15530,radu_hs,30129,1234,5,3,50,2015-06-05 03:50:00
15553,thijshs,17344,1764,5,4,0,2015-06-05 04:00:00
15555,radu_hs,30129,1213,5,4,0,2015-06-05 04:00:00
15578,thijshs,17388,1713,5,4,20,2015-06-05 04:20:00
15579,radu_hs,30156,1159,5,4,20,2015-06-05 04:20:00
