,name,followers,current_viewers,days,hours,minutes,test
683,ratsmah,36251,1125,31,10,40,2015-05-31 10:40:00
708,ratsmah,36251,1119,31,10,50,2015-05-31 10:50:00
733,ratsmah,36251,1177,31,11,0,2015-05-31 11:00:00
758,ratsmah,36251,1164,31,11,10,2015-05-31 11:10:00
784,ratsmah,36258,1123,31,11,20,2015-05-31 11:20:00
808,ratsmah,36258,1187,31,11,40,2015-05-31 11:40:00
832,ratsmah,36258,1319,31,11,50,2015-05-31 11:50:00
856,ratsmah,36258,1523,31,12,0,2015-05-31 12:00:00
882,ratsmah,36258,1475,31,12,10,2015-05-31 12:10:00
907,ratsmah,36271,1387,31,12,30,2015-05-31 12:30:00
931,ratsmah,36271,1423,31,12,40,2015-05-31 12:40:00
957,ratsmah,36271,1498,31,12,50,2015-05-31 12:50:00
982,ratsmah,36271,1515,31,13,0,2015-05-31 13:00:00
1008,ratsmah,36271,1436,31,13,10,2015-05-31 13:10:00
1033,ratsmah,36286,1505,31,13,20,2015-05-31 13:20:00
1058,ratsmah,36286,1389,31,13,30,2015-05-31 13:30:00
1082,ratsmah,36286,1481,31,13,40,2015-05-31 13:40:00
1106,ratsmah,36286,1515,31,13,50,2015-05-31 13:50:00
1132,ratsmah,36286,1568,31,14,0,2015-05-31 14:00:00
1157,ratsmah,36286,1591,31,14,10,2015-05-31 14:10:00
1180,ratsmah,36315,1576,31,14,20,2015-05-31 14:20:00
1205,ratsmah,36315,1681,31,14,30,2015-05-31 14:30:00
1229,ratsmah,36315,1569,31,14,40,2015-05-31 14:40:00
1255,ratsmah,36315,1540,31,14,50,2015-05-31 14:50:00
1280,ratsmah,36315,1624,31,15,0,2015-05-31 15:00:00
1305,ratsmah,36315,1563,31,15,10,2015-05-31 15:10:00
1330,ratsmah,36334,1542,31,15,20,2015-05-31 15:20:00
1355,ratsmah,36334,1631,31,15,30,2015-05-31 15:30:00
1382,ratsmah,36334,1249,31,15,40,2015-05-31 15:40:00
1408,ratsmah,36334,824,31,15,50,2015-05-31 15:50:00
1435,ratsmah,36334,665,31,16,0,2015-05-31 16:00:00
1461,ratsmah,36334,609,31,16,10,2015-05-31 16:10:00
1681,reynad27,254386,1051,31,17,40,2015-05-31 17:40:00
1700,reynad27,254386,6654,31,18,0,2015-05-31 18:00:00
1725,reynad27,254386,8462,31,18,10,2015-05-31 18:10:00
1750,reynad27,254457,12145,31,18,30,2015-05-31 18:30:00
1775,reynad27,254457,12634,31,18,40,2015-05-31 18:40:00
1800,reynad27,254457,14719,31,18,50,2015-05-31 18:50:00
1825,reynad27,254457,14636,31,19,0,2015-05-31 19:00:00
1850,reynad27,254457,15076,31,19,10,2015-05-31 19:10:00
1875,reynad27,254651,16168,31,19,30,2015-05-31 19:30:00
1900,reynad27,254651,16678,31,19,40,2015-05-31 19:40:00
1925,reynad27,254651,16942,31,19,50,2015-05-31 19:50:00
1950,reynad27,254651,17562,31,20,0,2015-05-31 20:00:00
1975,reynad27,254651,17500,31,20,10,2015-05-31 20:10:00
2000,reynad27,254835,16597,31,20,20,2015-05-31 20:20:00
2025,reynad27,254835,17117,31,20,30,2015-05-31 20:30:00
2050,reynad27,254835,18081,31,20,40,2015-05-31 20:40:00
2075,reynad27,254835,17323,31,21,0,2015-05-31 21:00:00
2100,reynad27,254835,17400,31,21,10,2015-05-31 21:10:00
2125,reynad27,255038,18325,31,22,10,2015-05-31 22:10:00
2150,reynad27,255235,18269,31,22,20,2015-05-31 22:20:00
2175,reynad27,255235,16684,31,22,30,2015-05-31 22:30:00
2200,reynad27,255235,17848,31,22,40,2015-05-31 22:40:00
2225,reynad27,255235,18229,31,22,50,2015-05-31 22:50:00
2250,reynad27,255235,18995,31,23,0,2015-05-31 23:00:00
2275,reynad27,255235,17796,31,23,10,2015-05-31 23:10:00
2300,reynad27,255486,15649,31,23,20,2015-05-31 23:20:00
2325,reynad27,255486,17430,31,23,40,2015-05-31 23:40:00
2350,reynad27,255486,16712,1,0,10,2015-06-01 00:10:00
2375,reynad27,255644,18107,1,0,30,2015-06-01 00:30:00
2400,reynad27,255644,18453,1,0,40,2015-06-01 00:40:00
2425,reynad27,255644,19363,1,0,50,2015-06-01 00:50:00
