,name,followers,current_viewers,days,hours,minutes,test
0,nl_kripp,524793,13097,30,22,40,2015-05-30 22:40:00
25,nl_kripp,524793,13097,30,22,40,2015-05-30 22:40:00
50,nl_kripp,524793,16886,30,23,10,2015-05-30 23:10:00
75,nl_kripp,524906,17013,30,23,20,2015-05-30 23:20:00
100,nl_kripp,524906,17825,30,23,30,2015-05-30 23:30:00
125,nl_kripp,524906,16925,30,23,40,2015-05-30 23:40:00
150,nl_kripp,524906,19166,30,23,50,2015-05-30 23:50:00
175,nl_kripp,524906,18514,31,0,0,2015-05-31 00:00:00
200,nl_kripp,524906,19948,31,0,10,2015-05-31 00:10:00
225,nl_kripp,525025,19887,31,0,20,2015-05-31 00:20:00
250,nl_kripp,525025,22151,31,0,30,2015-05-31 00:30:00
275,nl_kripp,525025,21416,31,0,40,2015-05-31 00:40:00
300,nl_kripp,525025,22912,31,0,50,2015-05-31 00:50:00
325,nl_kripp,525025,23872,31,1,0,2015-05-31 01:00:00
350,nl_kripp,525025,23835,31,1,10,2015-05-31 01:10:00
375,nl_kripp,525146,24725,31,1,20,2015-05-31 01:20:00
400,nl_kripp,525146,25202,31,1,30,2015-05-31 01:30:00
425,nl_kripp,525146,26452,31,1,40,2015-05-31 01:40:00
450,nl_kripp,525146,26329,31,1,50,2015-05-31 01:50:00
2326,trumpsc,521113,3806,31,23,40,2015-05-31 23:40:00
3829,trumpsc,521234,2077,1,12,10,2015-06-01 12:10:00
3852,trumpsc,521246,4920,1,12,20,2015-06-01 12:20:00
3877,trumpsc,521246,7861,1,12,30,2015-06-01 12:30:00
3901,trumpsc,521246,11463,1,12,50,2015-06-01 12:50:00
3926,trumpsc,521246,12332,1,13,0,2015-06-01 13:00:00
3951,trumpsc,521246,13705,1,13,10,2015-06-01 13:10:00
3976,trumpsc,521379,13802,1,13,20,2015-06-01 13:20:00
4001,trumpsc,521379,14986,1,13,30,2015-06-01 13:30:00
4026,trumpsc,521379,16173,1,13,40,2015-06-01 13:40:00
4051,trumpsc,521379,16447,1,13,50,2015-06-01 13:50:00
4076,trumpsc,521379,16266,1,14,0,2015-06-01 14:00:00
4101,trumpsc,521379,16539,1,14,10,2015-06-01 14:10:00
4126,trumpsc,521531,17174,1,14,20,2015-06-01 14:20:00
4151,trumpsc,521531,18050,1,14,30,2015-06-01 14:30:00
4175,trumpsc,521531,22504,1,14,50,2015-06-01 14:50:00
4200,trumpsc,521531,23381,1,15,0,2015-06-01 15:00:00
4225,trumpsc,521531,24210,1,15,10,2015-06-01 15:10:00
4250,trumpsc,521531,16464,1,15,20,2015-06-01 15:20:00
27726,nl_kripp,526384,3527,8,21,10,2015-06-08 21:10:00
27750,nl_kripp,526422,8963,8,21,20,2015-06-08 21:20:00
27775,nl_kripp,526422,14152,8,21,30,2015-06-08 21:30:00
27800,nl_kripp,526422,18075,8,21,40,2015-06-08 21:40:00
27825,nl_kripp,526422,19725,8,21,50,2015-06-08 21:50:00
27850,nl_kripp,526422,22187,8,22,0,2015-06-08 22:00:00
27875,nl_kripp,526422,21541,8,22,10,2015-06-08 22:10:00
27900,nl_kripp,526797,21487,8,22,20,2015-06-08 22:20:00
27925,nl_kripp,526797,21446,8,22,30,2015-06-08 22:30:00
27950,nl_kripp,526797,22089,8,22,40,2015-06-08 22:40:00
27975,nl_kripp,526797,22371,8,22,50,2015-06-08 22:50:00
28000,nl_kripp,526797,23191,8,23,0,2015-06-08 23:00:00
28025,nl_kripp,526797,22704,8,23,10,2015-06-08 23:10:00
28050,nl_kripp,527050,23238,8,23,20,2015-06-08 23:20:00
29781,trumpsc,523039,1586,9,12,10,2015-06-09 12:10:00
29803,trumpsc,523054,4063,9,12,20,2015-06-09 12:20:00
29827,trumpsc,523054,5929,9,12,30,2015-06-09 12:30:00
29852,trumpsc,523054,8214,9,12,50,2015-06-09 12:50:00
29877,trumpsc,523054,9375,9,13,0,2015-06-09 13:00:00
29902,trumpsc,523210,11499,9,13,20,2015-06-09 13:20:00
29926,trumpsc,523210,11949,9,13,30,2015-06-09 13:30:00
29951,trumpsc,523210,13078,9,13,40,2015-06-09 13:40:00
29976,trumpsc,523210,12821,9,13,50,2015-06-09 13:50:00
30001,trumpsc,523210,14768,9,14,0,2015-06-09 14:00:00
30025,trumpsc,523210,18344,9,14,10,2015-06-09 14:10:00
30050,trumpsc,523428,16156,9,14,20,2015-06-09 14:20:00
30075,trumpsc,523428,18354,9,14,30,2015-06-09 14:30:00
30100,trumpsc,523428,19399,9,14,40,2015-06-09 14:40:00
30125,trumpsc,523428,18137,9,14,50,2015-06-09 14:50:00
30150,trumpsc,523428,20364,9,15,0,2015-06-09 15:00:00
30175,trumpsc,523428,19451,9,15,10,2015-06-09 15:10:00
30200,trumpsc,523657,22586,9,15,20,2015-06-09 15:20:00
30225,trumpsc,523657,20852,9,15,30,2015-06-09 15:30:00
30250,trumpsc,523657,22147,9,15,40,2015-06-09 15:40:00
30275,trumpsc,523657,22968,9,15,50,2015-06-09 15:50:00
30300,trumpsc,523657,24222,9,16,0,2015-06-09 16:00:00
30325,trumpsc,523657,22333,9,16,10,2015-06-09 16:10:00
30350,trumpsc,523903,22952,9,16,20,2015-06-09 16:20:00
30375,trumpsc,523947,23010,9,16,30,2015-06-09 16:30:00
30400,trumpsc,523947,21455,9,16,40,2015-06-09 16:40:00
30425,trumpsc,523947,21288,9,16,50,2015-06-09 16:50:00
30450,trumpsc,523947,20567,9,17,10,2015-06-09 17:10:00
30475,trumpsc,524073,19678,9,17,20,2015-06-09 17:20:00
30500,trumpsc,524073,19317,9,17,30,2015-06-09 17:30:00
30525,trumpsc,524073,20431,9,17,40,2015-06-09 17:40:00
30550,trumpsc,524073,19102,9,17,50,2015-06-09 17:50:00
30880,nl_kripp,527228,1490,9,20,10,2015-06-09 20:10:00
30904,nl_kripp,527251,3571,9,20,20,2015-06-09 20:20:00
30926,nl_kripp,527251,5348,9,20,30,2015-06-09 20:30:00
30951,nl_kripp,527251,6978,9,20,40,2015-06-09 20:40:00
30976,nl_kripp,527251,10448,9,21,10,2015-06-09 21:10:00
31001,nl_kripp,527377,11271,9,21,20,2015-06-09 21:20:00
31026,nl_kripp,527377,12001,9,21,30,2015-06-09 21:30:00
31051,nl_kripp,527377,12597,9,21,40,2015-06-09 21:40:00
31076,nl_kripp,527377,13388,9,21,50,2015-06-09 21:50:00
31101,nl_kripp,527377,14197,9,22,10,2015-06-09 22:10:00
31125,nl_kripp,527505,15097,9,22,20,2015-06-09 22:20:00
31150,nl_kripp,527505,16108,9,22,30,2015-06-09 22:30:00
31175,nl_kripp,527505,17338,9,22,40,2015-06-09 22:40:00
31200,nl_kripp,527505,20020,9,22,50,2015-06-09 22:50:00
31225,nl_kripp,527505,21931,9,23,10,2015-06-09 23:10:00
31250,nl_kripp,527733,22668,9,23,20,2015-06-09 23:20:00
31275,nl_kripp,527733,22134,9,23,30,2015-06-09 23:30:00
31300,nl_kripp,527733,22060,9,23,50,2015-06-09 23:50:00
31325,nl_kripp,527733,23285,10,0,0,2015-06-10 00:00:00
31350,nl_kripp,527733,22968,10,0,10,2015-06-10 00:10:00
31375,nl_kripp,527925,23835,10,0,20,2015-06-10 00:20:00
31400,nl_kripp,527925,23100,10,0,30,2015-06-10 00:30:00
31425,nl_kripp,527925,23896,10,0,40,2015-06-10 00:40:00
32987,trumpsc,524331,1016,10,12,30,2015-06-10 12:30:00
33008,trumpsc,524332,1431,10,12,40,2015-06-10 12:40:00
33029,trumpsc,524332,4826,10,13,0,2015-06-10 13:00:00
33053,trumpsc,524372,6482,10,13,20,2015-06-10 13:20:00
33077,trumpsc,524372,8881,10,13,30,2015-06-10 13:30:00
33102,trumpsc,524372,9740,10,13,40,2015-06-10 13:40:00
33126,trumpsc,524372,10706,10,13,50,2015-06-10 13:50:00
33151,trumpsc,524372,11468,10,14,0,2015-06-10 14:00:00
